name	 potfire
health   0
type     trap
lifespan    120
nolife   1
alpha	 1




anim	follow1
	loop	1
	delay	8
	offset	95 105
	bbox	0 0 0 0
	frame	data/chars/misc/traps/fire/sp1.gif
	frame	data/chars/misc/traps/fire/sp2.gif
	frame	data/chars/misc/traps/fire/sp3.gif
	frame	data/chars/misc/traps/fire/sp4.gif
		
anim	follow2
	loop	1
	delay	8
	offset	95 125
	bbox	0 0 0 0
	drawmethod	256 256
	frame	data/chars/misc/traps/fire/fire1.gif
	frame	data/chars/misc/traps/fire/fire2.gif
	frame	data/chars/misc/traps/fire/fire3.gif
	frame	data/chars/misc/traps/fire/fire4.gif
		
anim	idle
	loop	1
	delay	9
	offset	95 125
	bbox	0 0 0 0
	hitfx	data/sounds/burn.wav
	burn	25 90 133 45 17 1 1 0 10 40
	frame	data/chars/misc/traps/fire/fire1.gif
	frame	data/chars/misc/traps/fire/fire2.gif
	frame	data/chars/misc/traps/fire/fire3.gif
	frame	data/chars/misc/traps/fire/fire4.gif
	frame	data/chars/misc/traps/fire/fire1.gif
	frame	data/chars/misc/traps/fire/fire2.gif
	frame	data/chars/misc/traps/fire/fire3.gif
	frame	data/chars/misc/traps/fire/fire4.gif
	frame	data/chars/misc/traps/fire/fire1.gif
	frame	data/chars/misc/traps/fire/fire2.gif
	frame	data/chars/misc/traps/fire/fire3.gif
	frame	data/chars/misc/traps/fire/fire4.gif
	frame	data/chars/misc/traps/fire/fire1.gif
	frame	data/chars/misc/traps/fire/fire2.gif
	frame	data/chars/misc/traps/fire/fire3.gif
	frame	data/chars/misc/traps/fire/fire4.gif
		
anim	spawn
	loop	0
	delay	3
	offset	95 105
	bbox	0 0 0 0
	movea	-2
	frame	data/chars/misc/traps/fire/sp1.gif
	frame	data/chars/misc/traps/fire/sp1.gif
	frame	data/chars/misc/traps/fire/sp2.gif
	frame	data/chars/misc/traps/fire/sp2.gif
	frame	data/chars/misc/traps/fire/sp3.gif
	frame	data/chars/misc/traps/fire/sp3.gif
	frame	data/chars/misc/traps/fire/sp4.gif
	frame	data/chars/misc/traps/fire/sp4.gif
	frame	data/chars/misc/traps/fire/sp1.gif
	frame	data/chars/misc/traps/fire/sp1.gif
	frame	data/chars/misc/traps/fire/sp2.gif
	frame	data/chars/misc/traps/fire/sp2.gif
	frame	data/chars/misc/traps/fire/sp3.gif
	frame	data/chars/misc/traps/fire/sp3.gif
	frame	data/chars/misc/traps/fire/sp4.gif
	frame	data/chars/misc/traps/fire/sp4.gif
	frame	data/chars/misc/traps/fire/sp1.gif
	frame	data/chars/misc/traps/fire/sp1.gif
	frame	data/chars/misc/traps/fire/sp2.gif
	frame	data/chars/misc/traps/fire/sp2.gif
	frame	data/chars/misc/traps/fire/sp3.gif
	frame	data/chars/misc/traps/fire/sp3.gif
	frame	data/chars/misc/traps/fire/sp4.gif
	frame	data/chars/misc/traps/fire/sp4.gif
	frame	data/chars/misc/traps/fire/sp1.gif
	frame	data/chars/misc/traps/fire/sp1.gif
	frame	data/chars/misc/traps/fire/sp2.gif
	frame	data/chars/misc/traps/fire/sp2.gif
	movea	0
	delay	12
	offset	95 125
	frame	data/chars/misc/traps/fire/sp6.gif
	frame	data/chars/misc/traps/fire/sp7.gif
	frame	data/chars/misc/traps/fire/sp8.gif
		
#|edited by openBor Stats v 0.67
		
